"name","text"
"Melisa Aritonang","Masih berada di kaki gunung
Seru sekali bisa naik jeep sama ke museum bersama teman teman momen yang sangat indah dalam hidup saya
Menjadikan bersyukur bahwa tragedi dan kekuasaan Tuhan tidak ada batasnya

Semoga bisa ke Jogja lagi dan bisa menaiki merapi"
"Irsya Kumala","Amazing ..
Sangat Suka,,. pertama kali kesini,,dr jauh wkt pngn sekali ke Gunung Merapi br kesampaian,,
Terimakasih AlamSemesta 🙏😊🙏"
"Dewi Natalia","Ke merapi naik jeep  tahun 2016 seru banget karena jalannnya benar2 off road. Tahun 2022 coba kesini bareng anak-anak jalannya sudah pada di aspal 🤣 tapi spot terakhir naik jeep seru karena jeepnya nyebur ke kolam gt. Bbrp tempat kebanyakan buat spot2 foto jadi agak aneh aja..ud ga begitu natural. Pemandangan gunung merapinya sendiri luar biasa cantik. Lihat bunker terus ke spot-spot foto yang beberapa belum jadi sempurna. Kamar mandi umum bersih dan airnya dingin banget 😄"
"Fajar Aqil","Banyak pemandangan sangat indah yang bisa dilewati dalam jalur pendakian yang luar biasa menantang ini. selalu ingin sering mendaki kesini lagi.."
"wawan budiana wikanda","Sebuah pengalaman yg tak akan terulang 2x
Pendakian 2016 lalu"
"mus takim","Gunung Merapi..
Merupakan Gunung teraktif didunia, sebagai pusat penelitian para ahli-ahli, para pakar alam.
Gunung Merapi menyimpan banyak misteri, banyak sejarah yg tersembunyi didalam nya..
Salah satunya, sosok abdi dalem keraton jogjakarta, almarhum mbah Maridjan, dipercaya sebagai juru kunci(penjaga) gunung Merapi, meninggal dalam peristiwa Erupsi (Wedus Gembel) gunung Merapi................

Banyak orang yang mendaki ke gunung merapi,baek orang domestik ataupun mancanegara.....................

""Jangan kotori gunung, bawa turun kembali sampahmu"".

#salammuncak #salammerapi"
"joseph raharjo","Gunung merapi mencerminkan kebesaran Tuhan yang Maha Besar. Saat erupsi daya rusaknya besar kehidupan yang mapan bisa dilumpuhkan selama beberapa hari karena awan panas, debu yang bertebaran serta banjir lahar dingin. Tetapi G. Merapi yang aktif memberi kita semangat untuk tetap belajar karena kehidupanndan keadaan alam itu dinamis."
"Hana Uswatun","Amazing banget, waktu pertama kali kesana udah seru banget, baru pertama kali naik jeep dan didalam perjalanan seru banget, disana terdapat beberapa tempat yaitu... Museum Mbah Maridjan,  Bunker, Batu alien. Tapi hanya itu yang saya tahu, ketika saya tahu cerita asli dari merapi pada tahun 2010, saya sangat kagum dan terkejut, namun saya tidak memotret apa pun karena saya takut hp saya terkena air. Disana terdapat 800 jeep lebih, didalam bunker tersebut terdapat sebuah lahar yang sudah mengeras, tapi kemarin saya nemu duit 2000 di atas lahar yang mengeras😂, pokoknya amazing banget waktu saya kesana"
"Yuliahan Nariswari","View pagi nya wlwpun berkabut bener bener bagus 👍🏻
Harus coba banget ngopi dikaki gunung pas di depan bangker syahduuuu ☕️
Banyak kedai kopi dan makanan
Harga juga terjangkau sekalii
Untuk parkir hanya 2000 per motor
Udara juga sejuk banget 🌞🌻"
"Adinda Maulina","My all time favorite volcano. A 5 star rating does not do its beauty justice while a -5 rating does not do the polluters justice. The cold water and fresh air is exactly what I look for after months and months of working in the city yet I find myself stumbling upon trash in even the more remote areas of the hike up. What a shame the people are unable to keep this beautiful volcano clean."
"Heris Eca","Beberapa orang saja yang bisa kita lakukan untuk menjaga agar kulit cepat putih berikut patut Anda coba untuk tampil lebih cantik dan seksi pada saat itu juga ada juga yang membuat Anda mengambil keputusan dan tidak hanya sekedar informasi dan teknologi informasi untuk meraih hidup dan mati di kayu salib dan yang paling penting adalah memahami dan menguasai bahasa Indonesia ensiklopedia Islam dan kaum wanita adalah sepatu futsal Adidas predator seperti yang telah ditentukan oleh panitia pelaksana oke.........."
"Ruhenda Henda","saya sangat suka dengan gunung merapi, karena disana saya bisa menyelam ke lava, dan merasakan sensasi panas, saya juga bermain lempar""an batu yg berada di pinggiran lava, dan terakhir bermain uap yg sangat panas agar bisa menghangatkan badan dan menjadi hitam, setelah saya pulang badan saya hanya tersisa tengkorak"
"Mohammad Iqbal","Kamis, 4 Nov 2010 saya berangkat ke Yogya dengan kereta api malam untuk suatu pertemuan penting. Sekitar pukul 4 pagi,  menengok ke jendela,  nampak pepohonan dan atap rumah penduduk tertutup oleh debu. Ternyata, Jumat,  5 Nov 2010 sekitar pukul 1 malam, Merapi baru saja memuntahkan isinya sebagai puncak letusan. Tiba di stasiun,  tampak jalan aspal tertutup debu vulkanik setebal 4-6 cm. Alhamdulillah saya dapat sampai dengan selamat meskipun kemudian menerima kabar bahwa pertemuan dibatalkan karena utusan2 dari daerah lain tidak dapat menjangkau titik tujuan akibat transportasi baik darat maupun udara yang lumpuh. Terkunci tak bisa pulang ke kota asal,  akhirnya bergabung dgn tim relawan."
"Khoiru Arifin","View nya bagus, apalagi diwaktu sore gari yaitu diwaktu Sunset 🔥"
"fairytale","Bagus banget pemandangannya. Kalau mau masuk Kaliurang pas wiken bayar 8.000 tp kalo weekday kayaknya 5.000 aja."
"Tay KC","Best place for bicycle tourer to cycle near the Volcano hill bottom.   Simply spectacular."
"Yudhi Nugroho","“Gunung Merapi”

Jika melihat ulasan disini mengenai Gunung Merapi sepertinya ulasan mereka tentang pengalaman dan kesan mereka saat “Mendaki”.
Saya akan memberikan ulasan saya dalam perspektif yang lain, hehehe.

Saya sangat menikmati sekali setiap perjalanan saya yang berkenaan dengan pemandangan alam, yaitu salah satunya berkaitan dengan Gunung Merapi.

Gunung Merapi tentu setiap orang memiliki kesan pribadi didalam pikiran bawah sadar setiap orang. Dan saya memiliki kesan yang baik dan istimewa mengenai Gunung Merapi ini.
Karena banyak kenangan indah yang saya ciptakan dengan orang-orang yang saya kasihi dan latar belakang Gunung Merapi tidak lepas dari pandangan saya.
Sehingga kesan fragmen memori saya terhadap Gunung Merapi, dalam ruang kesadaran saya banyak hal positif di dalamnya.
Ia ibarat “jangkar”, yang mana ketika saya membuka dan mengingat memori saya terhadap Gunung Merapi, perasaan bahagia dan kesan positif seolah membanjiri tubuh persis ketika jalinan emosi positif tentang Gunung Merapi terbentuk di awal masa lalu.

Gunung Merapi…. Terima kasih"
